team_a,team_b,scope,matches,wins_a,draws,wins_b,goals_a,goals_b,win_pct_a,win_pct_b,avg_goals_a,avg_goals_b,last_meeting
BRA,NOR,all_competitive,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1998-06-23
BRA,NOR,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1998-06-23
BRA,ARG,all_competitive,87,34,19,34,132.0,133.0,0.39080459770114945,0.39080459770114945,1.5172413793103448,1.528735632183908,2025-03-25
BRA,ARG,wc_only,4,2,1,1,5.0,3.0,0.5,0.25,1.25,0.75,1990-06-24
BRA,ALG,all_competitive,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1986-06-06
BRA,ALG,wc_only,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1986-06-06
BRA,AUT,all_competitive,2,2,0,0,4.0,0.0,1.0,0.0,2.0,0.0,1978-06-11
BRA,AUT,wc_only,2,2,0,0,4.0,0.0,1.0,0.0,2.0,0.0,1978-06-11
BRA,POR,all_competitive,3,1,1,1,2.0,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2010-06-25
BRA,POR,wc_only,2,0,1,1,1.0,3.0,0.0,0.5,0.5,1.5,2010-06-25
BRA,COD,all_competitive,1,1,0,0,3.0,0.0,1.0,0.0,3.0,0.0,1974-06-22
BRA,COD,wc_only,1,1,0,0,3.0,0.0,1.0,0.0,3.0,0.0,1974-06-22
BRA,COL,all_competitive,30,18,9,3,60.0,15.0,0.6,0.1,2.0,0.5,2025-03-20
BRA,COL,wc_only,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,2014-07-04
BRA,ENG,all_competitive,7,4,3,0,9.0,4.0,0.5714285714285714,0.0,1.2857142857142858,0.5714285714285714,2002-06-21
BRA,ENG,wc_only,4,3,1,0,6.0,2.0,0.75,0.0,1.5,0.5,2002-06-21
BRA,CRO,all_competitive,3,2,1,0,5.0,2.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,2022-12-09
BRA,CRO,wc_only,3,2,1,0,5.0,2.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,2022-12-09
BRA,GHA,all_competitive,1,1,0,0,3.0,0.0,1.0,0.0,3.0,0.0,2006-06-27
BRA,GHA,wc_only,1,1,0,0,3.0,0.0,1.0,0.0,3.0,0.0,2006-06-27
BRA,PAN,all_competitive,1,1,0,0,5.0,0.0,1.0,0.0,5.0,0.0,1952-04-13
MAR,HAI,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-24
MAR,HAI,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-24
MAR,SCO,all_competitive,2,1,0,0,3.0,0.0,0.5,0.0,1.5,0.0,2026-06-19
MAR,SCO,wc_only,2,1,0,0,3.0,0.0,0.5,0.0,1.5,0.0,2026-06-19
MAR,AUS,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,1987-06-09
MAR,GER,all_competitive,2,0,0,2,1.0,3.0,0.0,1.0,0.5,1.5,1986-06-17
MAR,GER,wc_only,2,0,0,2,1.0,3.0,0.0,1.0,0.5,1.5,1986-06-17
MAR,CIV,all_competitive,15,6,5,4,18.0,14.0,0.4,0.26666666666666666,1.2,0.9333333333333333,2019-06-28
MAR,NED,all_competitive,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1994-06-29
MAR,NED,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1994-06-29
MAR,TUN,all_competitive,23,5,13,5,27.0,26.0,0.21739130434782608,0.21739130434782608,1.173913043478261,1.1304347826086956,2012-01-23
MAR,BEL,all_competitive,2,1,0,1,2.0,1.0,0.5,0.5,1.0,0.5,2022-11-27
MAR,BEL,wc_only,2,1,0,1,2.0,1.0,0.5,0.5,1.0,0.5,2022-11-27
MAR,EGY,all_competitive,20,9,7,4,20.0,10.0,0.45,0.2,1.0,0.5,2022-01-30
MAR,IRN,all_competitive,2,0,1,1,1.0,2.0,0.0,0.5,0.5,1.0,2018-06-15
MAR,IRN,wc_only,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2018-06-15
MAR,NZL,all_competitive,1,1,0,0,3.0,0.0,1.0,0.0,3.0,0.0,1980-10-26
MAR,ESP,all_competitive,4,0,2,2,4.0,6.0,0.0,0.5,1.0,1.5,2022-12-06
MAR,ESP,wc_only,2,0,2,0,2.0,2.0,0.0,0.0,1.0,1.0,2022-12-06
MAR,CPV,all_competitive,3,2,1,0,4.0,1.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,2016-03-29
MAR,KSA,all_competitive,3,2,0,1,3.0,2.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,2025-12-08
MAR,KSA,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1994-06-25
MAR,FRA,all_competitive,4,0,1,3,4.0,11.0,0.0,0.75,1.0,2.75,2022-12-14
MAR,FRA,wc_only,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,2022-12-14
MAR,SEN,all_competitive,15,9,3,3,22.0,7.0,0.6,0.2,1.4666666666666666,0.4666666666666667,2026-01-18
MAR,NOR,all_competitive,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,1998-06-10
MAR,NOR,wc_only,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,1998-06-10
MAR,ALG,all_competitive,14,7,3,4,21.0,13.0,0.5,0.2857142857142857,1.5,0.9285714285714286,2021-12-11
MAR,AUT,all_competitive,1,1,0,0,3.0,1.0,1.0,0.0,3.0,1.0,1988-02-02
MAR,JOR,all_competitive,2,2,0,0,7.0,2.0,1.0,0.0,3.5,1.0,2025-12-18
MAR,POR,all_competitive,3,2,0,1,4.0,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,2022-12-10
MAR,POR,wc_only,3,2,0,1,4.0,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,2022-12-10
MAR,COD,all_competitive,13,3,8,2,12.0,11.0,0.23076923076923078,0.15384615384615385,0.9230769230769231,0.8461538461538461,2024-01-21
MAR,ENG,all_competitive,2,0,1,1,0.0,1.0,0.0,0.5,0.0,0.5,1998-05-27
MAR,ENG,wc_only,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1986-06-06
MAR,CRO,all_competitive,3,0,2,1,3.0,4.0,0.0,0.3333333333333333,1.0,1.3333333333333333,2022-12-17
MAR,CRO,wc_only,2,0,1,1,1.0,2.0,0.0,0.5,0.5,1.0,2022-12-17
MAR,GHA,all_competitive,10,5,3,2,8.0,6.0,0.5,0.2,0.8,0.6,2022-01-10
HAI,SCO,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-13
HAI,SCO,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-13
HAI,USA,all_competitive,9,2,1,6,8.0,15.0,0.2222222222222222,0.6666666666666666,0.8888888888888888,1.6666666666666667,2025-06-22
HAI,CUW,all_competitive,18,10,5,3,35.0,16.0,0.5555555555555556,0.16666666666666666,1.9444444444444444,0.8888888888888888,2025-06-10
HAI,ECU,all_competitive,2,1,0,1,2.0,4.0,0.5,0.5,1.0,2.0,2016-06-12
HAI,JPN,all_competitive,1,0,1,0,3.0,3.0,0.0,0.0,3.0,3.0,2017-10-10
HAI,KSA,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2025-06-15
HAI,ARG,all_competitive,1,0,0,1,1.0,4.0,0.0,1.0,1.0,4.0,1974-06-23
HAI,ARG,wc_only,1,0,0,1,1.0,4.0,0.0,1.0,1.0,4.0,1974-06-23
HAI,PAN,all_competitive,4,1,2,1,4.0,3.0,0.25,0.25,1.0,0.75,2016-03-29
SCO,PAR,all_competitive,1,0,0,1,2.0,3.0,0.0,1.0,2.0,3.0,1958-06-11
SCO,PAR,wc_only,1,0,0,1,2.0,3.0,0.0,1.0,2.0,3.0,1958-06-11
SCO,AUS,all_competitive,2,1,1,0,2.0,0.0,0.5,0.0,1.0,0.0,1985-12-04
SCO,GER,all_competitive,9,0,2,7,10.0,21.0,0.0,0.7777777777777778,1.1111111111111112,2.3333333333333335,2024-06-14
SCO,GER,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1986-06-08
SCO,ECU,all_competitive,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,1995-05-24
SCO,NED,all_competitive,7,2,1,4,4.0,13.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,1.8571428571428572,2009-09-09
SCO,NED,wc_only,1,1,0,0,3.0,2.0,1.0,0.0,3.0,2.0,1978-06-11
SCO,JPN,all_competitive,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2006-05-13
SCO,SWE,all_competitive,5,4,0,1,7.0,3.0,0.8,0.2,1.4,0.6,1997-04-30
SCO,SWE,wc_only,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,1990-06-16
SCO,BEL,all_competitive,14,2,2,10,10.0,31.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,2.2142857142857144,2019-09-09
SCO,IRN,all_competitive,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1978-06-07
SCO,IRN,wc_only,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1978-06-07
SCO,NZL,all_competitive,1,1,0,0,5.0,2.0,1.0,0.0,5.0,2.0,1982-06-15
SCO,NZL,wc_only,1,1,0,0,5.0,2.0,1.0,0.0,5.0,2.0,1982-06-15
SCO,ESP,all_competitive,10,3,1,6,15.0,19.0,0.3,0.6,1.5,1.9,2023-10-12
SCO,URU,all_competitive,2,0,1,1,0.0,7.0,0.0,0.5,0.0,3.5,1986-06-13
SCO,URU,wc_only,2,0,1,1,0.0,7.0,0.0,0.5,0.0,3.5,1986-06-13
SCO,FRA,all_competitive,5,3,0,2,5.0,5.0,0.6,0.4,1.0,1.0,2007-09-12
SCO,FRA,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1958-06-15
SCO,NOR,all_competitive,11,5,4,2,18.0,15.0,0.45454545454545453,0.18181818181818182,1.6363636363636365,1.3636363636363635,2023-11-19
SCO,NOR,wc_only,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1998-06-16
SCO,AUT,all_competitive,9,3,3,3,10.0,10.0,0.3333333333333333,0.3333333333333333,1.1111111111111112,1.1111111111111112,2021-09-07
SCO,AUT,wc_only,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,1954-06-16
SCO,POR,all_competitive,10,2,3,5,8.0,14.0,0.2,0.5,0.8,1.4,2024-10-15
SCO,COD,all_competitive,1,1,0,0,2.0,0.0,1.0,0.0,2.0,0.0,1974-06-14
SCO,COD,wc_only,1,1,0,0,2.0,0.0,1.0,0.0,2.0,0.0,1974-06-14
