code,date,opponent,gf,ga,result,tournament,neutral
QAT,2025-03-20,NOR,5,1,W,FIFA World Cup qualification,False
QAT,2025-03-25,KYR,1,3,L,FIFA World Cup qualification,False
QAT,2025-06-05,IRN,1,0,W,FIFA World Cup qualification,False
QAT,2025-06-10,UZB,0,3,L,FIFA World Cup qualification,False
QAT,2025-10-08,OMA,0,0,D,FIFA World Cup qualification,False
QAT,2025-10-14,UNI,2,1,W,FIFA World Cup qualification,False
QAT,2025-12-01,PAL,0,1,L,Arab Cup,False
QAT,2025-12-04,SYR,1,1,D,Arab Cup,False
QAT,2025-12-07,TUN,0,3,L,Arab Cup,False
SUI,2024-06-23,GER,1,1,D,UEFA Euro,False
SUI,2024-06-29,ITA,2,0,W,UEFA Euro,True
SUI,2024-07-06,ENG,1,1,D,UEFA Euro,True
SUI,2024-09-05,DEN,0,2,L,UEFA Nations League,False
SUI,2024-09-08,ESP,1,4,L,UEFA Nations League,False
SUI,2024-10-12,SER,0,2,L,UEFA Nations League,False
SUI,2024-10-15,DEN,2,2,D,UEFA Nations League,False
SUI,2024-11-15,SER,1,1,D,UEFA Nations League,False
SUI,2024-11-18,ESP,2,3,L,UEFA Nations League,False
SUI,2025-09-05,KOS,4,0,W,FIFA World Cup qualification,False
SUI,2025-09-08,SLO,3,0,W,FIFA World Cup qualification,False
SUI,2025-10-10,SWE,2,0,W,FIFA World Cup qualification,False
SUI,2025-10-13,SLO,0,0,D,FIFA World Cup qualification,False
SUI,2025-11-15,SWE,4,1,W,FIFA World Cup qualification,False
SUI,2025-11-18,KOS,1,1,D,FIFA World Cup qualification,False
BRA,2024-07-02,COL,1,1,D,Copa América,True
BRA,2024-07-06,URU,0,0,D,Copa América,True
BRA,2024-09-06,ECU,1,0,W,FIFA World Cup qualification,False
BRA,2024-09-10,PAR,0,1,L,FIFA World Cup qualification,False
BRA,2024-10-10,CHI,2,1,W,FIFA World Cup qualification,False
BRA,2024-10-15,PER,4,0,W,FIFA World Cup qualification,False
BRA,2024-11-14,VEN,1,1,D,FIFA World Cup qualification,False
BRA,2024-11-19,URU,1,1,D,FIFA World Cup qualification,False
BRA,2025-03-20,COL,2,1,W,FIFA World Cup qualification,False
BRA,2025-03-25,ARG,1,4,L,FIFA World Cup qualification,False
BRA,2025-06-05,ECU,0,0,D,FIFA World Cup qualification,False
BRA,2025-06-10,PAR,1,0,W,FIFA World Cup qualification,False
BRA,2025-09-04,CHI,3,0,W,FIFA World Cup qualification,False
BRA,2025-09-09,BOL,0,1,L,FIFA World Cup qualification,False
BRA,2025-10-14,JPN,2,3,L,Kirin Cup,False
MAR,2025-09-08,ZAM,2,0,W,FIFA World Cup qualification,False
MAR,2025-10-14,CON,1,0,W,FIFA World Cup qualification,False
MAR,2025-12-02,COM,3,1,W,Arab Cup,True
MAR,2025-12-05,OMA,0,0,D,Arab Cup,True
MAR,2025-12-08,KSA,1,0,W,Arab Cup,True
MAR,2025-12-11,SYR,1,0,W,Arab Cup,True
MAR,2025-12-15,UNI,3,0,W,Arab Cup,True
MAR,2025-12-18,JOR,3,2,W,Arab Cup,True
MAR,2025-12-21,COM,2,0,W,African Cup of Nations,False
MAR,2025-12-26,MAL,1,1,D,African Cup of Nations,False
MAR,2025-12-29,ZAM,3,0,W,African Cup of Nations,False
MAR,2026-01-04,TAN,1,0,W,African Cup of Nations,False
MAR,2026-01-09,CAM,2,0,W,African Cup of Nations,False
MAR,2026-01-14,NIG,0,0,D,African Cup of Nations,False
MAR,2026-01-18,SEN,3,0,W,African Cup of Nations,False
HAI,2024-10-11,ARU,3,1,W,CONCACAF Nations League,False
HAI,2024-10-14,ARU,5,3,W,CONCACAF Nations League,False
HAI,2024-11-15,SIN,8,0,W,CONCACAF Nations League,True
HAI,2024-11-18,PUE,3,0,W,CONCACAF Nations League,False
HAI,2025-06-07,ARU,5,0,W,FIFA World Cup qualification,False
HAI,2025-06-10,CUW,1,5,L,FIFA World Cup qualification,True
HAI,2025-06-15,KSA,0,1,L,Gold Cup,True
HAI,2025-06-19,TRI,1,1,D,Gold Cup,True
HAI,2025-06-22,USA,1,2,L,Gold Cup,False
HAI,2025-09-05,HON,0,0,D,FIFA World Cup qualification,True
HAI,2025-09-09,COS,3,3,D,FIFA World Cup qualification,False
HAI,2025-10-09,NIC,3,0,W,FIFA World Cup qualification,False
HAI,2025-10-13,HON,0,3,L,FIFA World Cup qualification,False
HAI,2025-11-13,COS,1,0,W,FIFA World Cup qualification,True
HAI,2025-11-18,NIC,2,0,W,FIFA World Cup qualification,True
SCO,2024-06-23,HUN,0,1,L,UEFA Euro,True
SCO,2024-09-05,POL,2,3,L,UEFA Nations League,False
SCO,2024-09-08,POR,1,2,L,UEFA Nations League,False
SCO,2024-10-12,CRO,1,2,L,UEFA Nations League,False
SCO,2024-10-15,POR,0,0,D,UEFA Nations League,False
SCO,2024-11-15,CRO,1,0,W,UEFA Nations League,False
SCO,2024-11-18,POL,2,1,W,UEFA Nations League,False
SCO,2025-03-20,GRE,1,0,W,UEFA Nations League,False
SCO,2025-03-23,GRE,0,3,L,UEFA Nations League,False
