candidate,rps,nll,brier,acc,ece,draw_gap,home_gap,away_gap,d_rps_mean,d_rps_lo,d_rps_hi,d_nll_mean,d_nll_lo,d_nll_hi,wdl_mass_shift
baseline,0.18262261643672692,0.9104248737363023,0.5344344576435678,0.6049361106248906,0.0981666779875719,-0.029080362794855596,0.03351048347452101,-0.004430120679665417,,,,,,,
A_gamma,0.18123975054032893,0.9088944734071857,0.5313372955890815,0.6049361106248906,0.0725997989102845,0.011707482391268814,0.0104347840132204,-0.02214226640448924,-0.0013828658963980086,-0.0016588770083172495,-0.0010932922518635988,-0.0015304003291166097,-0.00399476427510063,0.0010600003396781595,0.04078784518612444
B_isotonic,0.17988702721394734,0.9096451680136876,0.5278183289341001,0.6040609137055838,0.059494363695024116,0.022510027491433215,0.001649029805865121,-0.024159057297298447,-0.0027355892227796208,-0.003174610285200794,-0.002281278074538996,-0.0007797057226149048,-0.007254810847844536,0.00661302147234585,0.052390422386828256
