alpha,top1,top3_share,entropy_bits,gini,n_teams_ge_1pct,d_top3_share,d_entropy_bits,d_top1,acceptance
0.0,0.242,0.519,3.641,0.706,14,0.0,0.0,0.0,ref
0.25,0.2757,0.5695,3.415,0.74,14,0.0505,0.226,0.0337,FAIL (over-concentrates)
0.4,0.2885,0.5952,3.289,0.77,12,0.0762,0.352,0.0465,FAIL (over-concentrates)
0.6,0.3191,0.6381,3.112,0.775,12,0.1191,0.529,0.0771,FAIL (over-concentrates)
1.0,0.3678,0.7058,2.815,0.795,10,0.1868,0.826,0.1258,ref
0.4+retemper,0.2377,0.5146,3.665,0.702,14,-0.0044,-0.024,-0.0043,PASS
0.6+retemper,0.2387,0.5161,3.67,0.7,14,-0.0029,-0.029,-0.0033,PASS
