fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
11984409,Euro,2020,2021-06-11,Türkiye,Italy,0,3,2,0.11558064668839259,0.2162247654955373,0.6681945878160701,38
11984410,Euro,2020,2021-06-12,Wales,Switzerland,1,1,1,0.2090109304185551,0.3004532124766729,0.4905358571047721,38
11984415,Euro,2020,2021-06-12,Denmark,Finland,0,1,2,0.716492302899717,0.20002076789283768,0.08348692920744528,38
11984416,Euro,2020,2021-06-12,Belgium,Russia,3,0,0,0.47018485125736165,0.2920845288113913,0.23773061993124706,38
11984424,Euro,2020,2021-06-13,England,Croatia,1,0,0,0.6168355690937848,0.2360728721223127,0.14709155878390254,38
17657224,Euro,2020,2021-06-13,Austria,North Macedonia,3,1,0,0.5514179318246921,0.2741334861071326,0.17444858206817532,38
11984421,Euro,2020,2021-06-13,Netherlands,Ukraine,3,2,0,0.6268081002892961,0.22565091610414661,0.1475409836065574,38
17657572,Euro,2020,2021-06-14,Scotland,Czech Republic,0,2,2,0.3403762757181519,0.32638820959274834,0.3332355146890998,38
17657575,Euro,2020,2021-06-14,Poland,Slovakia,1,2,2,0.5493332676049394,0.2827450642084247,0.16792166818663576,38
11984427,Euro,2020,2021-06-14,Spain,Sweden,0,0,1,0.7087576166901557,0.1927820717397224,0.09846031157012192,38
17657578,Euro,2020,2021-06-15,Hungary,Portugal,0,3,2,0.11319136772902672,0.21866514220380162,0.6681434900671716,38
11984430,Euro,2020,2021-06-15,France,Germany,1,0,0,0.3425741630215845,0.28849981526286306,0.3689260217155525,38
11984417,Euro,2020,2021-06-16,Finland,Russia,0,1,2,0.1423288450597383,0.2518811198523445,0.6057900350879172,37
11984411,Euro,2020,2021-06-16,Türkiye,Wales,0,2,2,0.3397103368140498,0.3187605270552863,0.34152913613066394,37
11984412,Euro,2020,2021-06-16,Italy,Switzerland,3,0,0,0.5643415102096753,0.27024804714266143,0.16541044264766344,37
17657225,Euro,2020,2021-06-17,Ukraine,North Macedonia,2,1,0,0.5271610769957487,0.26650921114785076,0.20632971185640056,37
11984418,Euro,2020,2021-06-17,Denmark,Belgium,1,2,2,0.2243565901028903,0.29684102690536257,0.47880238299174704,37
11984422,Euro,2020,2021-06-17,Netherlands,Austria,2,0,0,0.5915664884576161,0.2457276182823944,0.1627058932599895,37
17657576,Euro,2020,2021-06-18,Sweden,Slovakia,1,0,0,0.5052372150338879,0.292667898952557,0.20209488601355516,37
11984425,Euro,2020,2021-06-18,Croatia,Czech Republic,1,1,1,0.4348617125587829,0.29503542947298833,0.27010285796822875,37
17657573,Euro,2020,2021-06-18,England,Scotland,0,0,1,0.7239987005151528,0.18341300413050537,0.09258829535434165,37
17657579,Euro,2020,2021-06-19,Hungary,France,1,1,1,0.07984320198060656,0.17742933773468125,0.7427274602847121,37
11984431,Euro,2020,2021-06-19,Portugal,Germany,2,4,2,0.28251867259147206,0.2867353691973149,0.43074595821121303,37
11984428,Euro,2020,2021-06-19,Spain,Poland,1,1,1,0.7323826427055135,0.1751035002787935,0.09251385701569301,37
11984413,Euro,2020,2021-06-20,Switzerland,Türkiye,3,1,0,0.5850021767522856,0.22311710927296474,0.19188071397474968,37
11984414,Euro,2020,2021-06-20,Italy,Wales,1,0,0,0.6438710306814301,0.23984195892883273,0.11628701038973709,37
11984423,Euro,2020,2021-06-21,Ukraine,Austria,0,1,2,0.2521858473511507,0.4344444124912363,0.3133697401576131,37
17657226,Euro,2020,2021-06-21,North Macedonia,Netherlands,0,3,2,0.07362868255174572,0.14180338861817693,0.7845679288300774,37
11984419,Euro,2020,2021-06-21,Russia,Denmark,1,4,2,0.174651961670584,0.2287109021876695,0.5966371361417465,37
11984420,Euro,2020,2021-06-21,Finland,Belgium,0,2,2,0.10655195234943744,0.20847121111846462,0.684976836532098,37
11984426,Euro,2020,2021-06-22,Czech Republic,England,0,1,2,0.12705956907477822,0.23764258555133086,0.6352978453738911,38
17657574,Euro,2020,2021-06-22,Croatia,Scotland,3,1,0,0.3917369468397612,0.24609115891215774,0.36217189424808116,38
11984429,Euro,2020,2021-06-23,Sweden,Poland,3,2,0,0.32023637146323325,0.28763745939811375,0.39212616913865295,38
17657577,Euro,2020,2021-06-23,Slovakia,Spain,0,5,2,0.059001329223281045,0.1344283815395313,0.8065702892371878,38
11984432,Euro,2020,2021-06-23,Portugal,France,2,2,1,0.2296880356530682,0.2879670894754885,0.48234487487144323,38
17657580,Euro,2020,2021-06-23,Germany,Hungary,2,2,1,0.8531970575753289,0.09902390720045268,0.047779035224218426,38
17922170,Euro,2020,2021-06-26,Wales,Denmark,0,4,2,0.21084849515388537,0.30947117837102533,0.47968032647508924,38
17922171,Euro,2020,2021-06-26,Italy,Austria,2,1,0,0.6146848895593632,0.2474500709251796,0.13786503951545717,38
17922172,Euro,2020,2021-06-27,Netherlands,Czech Republic,0,2,2,0.6,0.24,0.15999999999999998,38
17922173,Euro,2020,2021-06-27,Belgium,Portugal,1,0,0,0.39281881159137466,0.2916382086057176,0.3155429798029076,38
17922174,Euro,2020,2021-06-28,Croatia,Spain,3,5,2,0.1508802331534796,0.2470166594462605,0.60210310740026,38
17922175,Euro,2020,2021-06-28,France,Switzerland,3,3,1,0.5904764979860029,0.25009484755777633,0.1594286544562208,38
17922176,Euro,2020,2021-06-29,England,Germany,2,0,0,0.4007678445506543,0.2902530752957769,0.30897908015356895,38
17922177,Euro,2020,2021-06-29,Sweden,Ukraine,1,2,2,0.4108150165337483,0.2991246839136355,0.29006029955261625,38
17922166,Euro,2020,2021-07-02,Switzerland,Spain,1,1,1,0.17002219403931515,0.24675015852885226,0.5832276474318326,38
17922167,Euro,2020,2021-07-02,Belgium,Italy,1,2,2,0.2849564228874574,0.3027661993179235,0.41227737779461915,38
17922168,Euro,2020,2021-07-03,Czech Republic,Denmark,1,2,2,0.24322598303074536,0.30991697837788523,0.44685703859136944,38
17922169,Euro,2020,2021-07-03,Ukraine,England,0,4,2,0.12752032091206586,0.2391006017101235,0.6333790773778106,38
17922164,Euro,2020,2021-07-06,Italy,Spain,1,1,1,0.3875688626863232,0.30425264834493565,0.3081784889687413,37
17922165,Euro,2020,2021-07-07,England,Denmark,2,1,0,0.5514179318246921,0.2741334861071326,0.17444858206817532,36
17922163,Euro,2020,2021-07-11,Italy,England,1,1,1,0.28265373816642925,0.3313871412985723,0.3859591205349984,28
11703453,Copa America,2019,2019-06-15,Brazil,Bolivia,3,0,0,0.903024311078366,0.07293657897171418,0.024039109949919917,30
11703454,Copa America,2019,2019-06-15,Venezuela,Peru,0,0,1,0.24835597305323912,0.3048364018367001,0.44680762511006084,29
11703455,Copa America,2019,2019-06-15,Argentina,Colombia,0,2,2,0.45058130496234644,0.2970931642587396,0.252325530778914,29
11703456,Copa America,2019,2019-06-16,Paraguay,Qatar,2,2,1,0.4897997250712612,0.28719883025789933,0.22300144467083946,28
11703457,Copa America,2019,2019-06-16,Uruguay,Ecuador,4,0,0,0.517203223568553,0.29350039660535654,0.18929637982609043,28
11703458,Copa America,2019,2019-06-17,Japan,Chile,0,4,2,0.1255868204408014,0.20197423680163146,0.6724389427575672,28
11703459,Copa America,2019,2019-06-18,Bolivia,Peru,1,3,2,0.11213611400265623,0.2166265838687677,0.6712373021285761,28
