,elo_diff,elo_sum,gf_diff,ga_diff,form_diff,rest_diff,neutral
class_0,0.726839026634755,-0.03047977682258168,0.13203672158610658,-0.2744688842225953,-0.1781394250512719,0.0279654810141936,0.06749365383731747
class_1,0.03603361137432536,0.08026742366574552,-0.01681640789898877,-0.012798972493070146,-0.026238915643626553,-0.0065062253456652334,-0.0037174535879189678
class_2,-0.7628726380090831,-0.049787646843163676,-0.11522031368711888,0.287267856715671,0.2043783406949067,-0.02145925566852947,-0.0637762002493984
