metric,baseline,augmented,delta,ci_lo,ci_hi
wdl_logloss,0.8813370023189969,0.8730308234580482,-0.008306178860948879,-0.012601075738324564,-0.004099347374049829
wdl_rps,0.17463814133730024,0.17211422809854857,-0.0025239132387516626,-0.003650917928500415,-0.0014098299658175737
wdl_brier,0.5181891660562629,0.5123173233448831,-0.00587184271137976,-0.008546223329922442,-0.0032224297650573245
tot_poisson_dev,1.368472471077763,1.3652738645858207,-0.003198606491942352,-0.013101398630327209,0.0063728204613331205
tot_mae,1.4768187184615793,1.481050568511243,0.004231850049663586,-0.0028673537302774704,0.011149559034132889
