model,top1,top3,top5,top10,entropy,entropy_max,entropy_ratio,herfindahl,n_teams
elo_calibrated,0.30355,0.66363,0.77946,0.91243,2.1953,3.8712,0.5671,0.174033,48
expert,0.0819,0.23325,0.36558,0.56298,3.44,3.8712,0.8886,0.042313,48
