model,top1,top3,top5,top10,entropy,entropy_max,entropy_ratio,herfindahl,n_teams,tournament,before_date,beta_mul
WC2018_approx_beta1.00,0.3101,0.5714,0.7314,0.9101,2.3139,3.8712,0.5977,0.15237,48,WC2018_approx,2018-06-01,1.0
WC2018_approx_beta0.55,0.1624,0.3558,0.5098,0.7352,3.006,3.8712,0.7765,0.071931,48,WC2018_approx,2018-06-01,0.55
WC2018_approx_beta0.55,0.1624,0.3558,0.5098,0.7352,3.006,3.8712,0.7765,0.071931,48,WC2018_approx,2018-06-01,0.55
WC2022_approx_beta1.00,0.3048,0.6161,0.7461,0.9034,2.2426,3.8712,0.5793,0.171614,48,WC2022_approx,2022-11-01,1.0
WC2022_approx_beta0.55,0.1686,0.392,0.5108,0.7099,2.9947,3.8712,0.7736,0.078048,48,WC2022_approx,2022-11-01,0.55
WC2022_approx_beta0.55,0.1686,0.392,0.5108,0.7099,2.9947,3.8712,0.7736,0.078048,48,WC2022_approx,2022-11-01,0.55
