model,top1,top3,top5,top10,entropy,entropy_max,entropy_ratio,herfindahl,n_teams,beta_elo,beta_mul,iterations
beta_x1.00,0.30507,0.67227,0.78873,0.9172,2.1689,3.8712,0.5603,0.177308,48,0.9884,1.0,15000
beta_x0.85,0.2556,0.58953,0.71473,0.87093,2.4149,3.8712,0.6238,0.14,48,0.8401,0.85,15000
beta_x0.70,0.2178,0.5036,0.6368,0.80887,2.6593,3.8712,0.6869,0.108723,48,0.6918,0.7,15000
beta_x0.55,0.17153,0.41707,0.53687,0.731,2.913,3.8712,0.7525,0.080334,48,0.5436,0.55,15000
beta_x0.40,0.1238,0.3188,0.43987,0.63707,3.1865,3.8712,0.8231,0.057435,48,0.3953,0.4,15000
