split,n_train,n_test,A_random_nll,A_random_brier,A_random_ece,B_empirical_nll,B_empirical_brier,B_empirical_ece,C_elo_nohome_nll,C_elo_nohome_brier,C_elo_nohome_ece,D_elo_home_nll,D_elo_home_brier,D_elo_home_ece,E_elo_calib_nll,E_elo_calib_brier,E_elo_calib_ece,F_indep_poisson_nll,F_indep_poisson_brier,F_indep_poisson_ece,G_elo_dc_rho_nll,G_elo_dc_rho_brier,G_elo_dc_rho_ece,H_hybrid_norho_nll,H_hybrid_norho_brier,H_hybrid_norho_ece,I_hybrid_full_nll,I_hybrid_full_brier,I_hybrid_full_ece,I_hybrid_full_beta_elo,I_hybrid_full_rho
train_pre2015_test_2015_2018,21296,3812,1.09861,0.66667,0.0,1.05391,0.63572,0.00926,0.95942,0.56779,0.01589,0.93575,0.55177,0.01924,0.92391,0.54441,0.01205,0.9225,0.5443,0.01916,0.92149,0.54363,0.01557,0.92773,0.54386,0.02787,0.92756,0.54308,0.02684,0.5777,-0.06
train_pre2019_test_2019_2022,25108,3580,1.09861,0.66667,0.0,1.04572,0.63,0.0002,0.92475,0.54374,0.03012,0.90141,0.52788,0.03091,0.886,0.51837,0.02468,0.87779,0.51497,0.00405,0.87677,0.51447,0.00331,0.8769,0.51327,0.0083,0.87449,0.51225,0.00701,0.6656,-0.0618
wc2022_holdout,31911,64,1.09861,0.66667,0.0,1.07361,0.65052,0.0315,1.02685,0.60247,0.03844,1.03798,0.61093,0.03718,1.02753,0.60905,0.02104,1.04297,0.61008,0.03665,1.04516,0.60998,0.03627,1.03079,0.60556,0.01693,1.03251,0.60625,0.01856,0.6508,-0.0415
train_pre2023_test_2023_2025,28688,3287,1.09861,0.66667,0.0,1.05479,0.63669,0.01064,0.91284,0.53725,0.02551,0.89994,0.52918,0.02491,0.88717,0.5208,0.01022,0.88288,0.52075,0.02788,0.88173,0.52008,0.02506,0.88557,0.51871,0.03375,0.88174,0.51727,0.02735,0.6524,-0.0212
