model,split,bucket_min,bucket_max,predicted_mean,observed_frequency,count,abs_error
elo_calib,train_pre2023_test_2023_2025,0.5,0.6,0.5502,0.5398,665,0.0103
elo_calib,train_pre2023_test_2023_2025,0.6,0.7,0.6504,0.6404,623,0.01
elo_calib,train_pre2023_test_2023_2025,0.7,0.8,0.748,0.7861,519,0.0381
elo_calib,train_pre2023_test_2023_2025,0.8,0.9,0.8459,0.9164,275,0.0705
elo_calib,train_pre2023_test_2023_2025,0.9,1.0,0.9276,0.9808,52,0.0531
hybrid,train_pre2023_test_2023_2025,0.0,0.1,0.0465,0.067,1687,0.0205
hybrid,train_pre2023_test_2023_2025,0.1,0.2,0.1523,0.1728,1719,0.0205
hybrid,train_pre2023_test_2023_2025,0.2,0.3,0.2515,0.2864,2486,0.0349
hybrid,train_pre2023_test_2023_2025,0.3,0.4,0.3409,0.3186,973,0.0223
hybrid,train_pre2023_test_2023_2025,0.4,0.5,0.4482,0.432,669,0.0162
hybrid,train_pre2023_test_2023_2025,0.5,0.6,0.5493,0.5044,571,0.0449
hybrid,train_pre2023_test_2023_2025,0.6,0.7,0.6475,0.5846,544,0.063
hybrid,train_pre2023_test_2023_2025,0.7,0.8,0.7491,0.6644,447,0.0847
hybrid,train_pre2023_test_2023_2025,0.8,0.9,0.8483,0.8119,388,0.0364
hybrid,train_pre2023_test_2023_2025,0.9,1.0,0.9553,0.9231,377,0.0322
