subset,n,real_rank,ceiling_rank
total 0-1,2832,3.3269774011299433,7.052179504845972
total 2-3,4576,4.9348776223776225,7.047989565125702
total 4,1401,10.885795860099929,7.0428795638815895
total 5+,1746,21.782359679266897,7.034316283800381
blowout,3026,17.211500330469267,7.034000842669799
