metric,better,trivial,real,real_ci_lo,real_ci_hi,ceiling,gap_real_minus_ceiling,unrealized_headroom_frac
outcome_acc,max,0.4745618190431075,0.583041212695405,0.5739459971577452,0.5923282804358124,0.48471559080397003,0.09832562189143496,0.0
rps,min,0.23093501567773053,0.19288282814835633,0.19100976158010197,0.19471653708767575,0.21320751439818064,-0.02032468624982431,0.0
brier_wdl,min,,0.5559690908267702,0.5512424828145204,0.5604498808357414,0.6153855313102595,-0.059416440483489374,
nll_wdl,min,1.0487636369255995,0.941374697316229,0.9347392118625236,0.9477106792079342,1.0255181444796515,-0.08414344716342248,0.0
exact_top1,max,0.10904784462340124,0.11833254381809569,0.11236144007579346,0.1244931312174325,0.12674676489514988,-0.008414221077054196,0.475408722558355
exact_top3,max,,0.330838465182378,0.3222169587873046,0.3398389388915206,0.3342661180201629,-0.0034276528377848448,
exact_top5,max,,0.5060161061108479,0.4965419232591189,0.5157745144481288,0.5039151629959323,0.002100943114915599,
mean_rank,min,,8.080246328754145,7.919848413074372,8.237517764092846,7.04617367202772,1.0340726567264245,
