method,rps,nll,brier,acc,ece,mean_conf,mean_entropy,drps_vs_prod,drps_ci_lo,drps_ci_hi,beats_beyond_noise
production(alpha=0),0.2116,1.0075,0.6032,0.531,0.0699,0.4738,1.0411,0.0,0.0,0.0,False
blend_alpha=0.25,0.2012,0.9771,0.5814,0.562,0.0939,0.4876,1.0297,-0.0103,-0.0133,-0.0075,True
blend_alpha=0.4,0.1963,0.9626,0.571,0.567,0.0688,0.4996,1.0191,-0.0153,-0.0199,-0.0108,True
blend_alpha=0.6,0.1912,0.9474,0.5603,0.57,0.0577,0.5174,1.0001,-0.0203,-0.0271,-0.0137,True
blend_regime(cap0.6),0.1917,0.9489,0.5614,0.57,0.065,0.515,1.0039,-0.0199,-0.0264,-0.0135,True
market_only(alpha=1.0 ORACLE-ref),0.1861,0.9319,0.5498,0.573,0.0496,0.5582,0.9444,-0.0254,-0.0362,-0.0148,True
